date,AAPL,MSFT,AMZN,GOOGL,META,TSLA,NVDA,JPM,V,JNJ
2022-10-24,148.76822,245.40402,119.82,102.52,129.72,211.25,125.925156,120.53788,189.52672,167.43039
2022-10-21,146.59816,240.31232,119.32,101.13,130.01,214.44,124.59584,120.39014,189.18883,165.20752
2022-10-20,142.73586,234.38689,115.25,99.97,131.53,207.28,121.87724,114.38196,186.05836,161.68225
2022-10-19,143.20372,234.71443,115.07,99.63,133.23,222.04,120.447975,114.75623,185.2534,161.27097
2022-10-18,143.09422,236.71935,116.36,100.77,132.8,220.19,119.608406,117.05116,186.00868,162.56357
2022-10-17,141.76033,235.75659,113.79,99.97,134.04,219.35,118.81882,114.11602,184.10059,163.13153
2022-10-14,137.74872,226.85356,106.9,96.56,126.76,204.99,112.21222,109.51631,181.48691,161.04575
2022-10-13,142.33768,232.49115,112.53,99.06,130.29,221.72,119.538445,107.72371,183.51425,161.72142
2022-10-12,137.7089,224.06454,112.9,97.56,127.5,217.24,114.94081,102.050415,177.1341,159.3125
2022-10-11,138.34598,223.72708,112.21,97.18,128.54,216.5,115.80037,100.42525,178.0285,159.35167
2022-10-10,139.7794,227.5384,113.67,97.86,133.79,222.96,116.63994,103.40964,181.04964,157.07982
2022-10-07,139.45091,232.49115,114.56,98.68,133.45,223.07,120.697845,104.384735,182.6894,156.87419
2022-10-06,144.76656,244.94745,120.3,101.42,139.07,238.13,131.23242,106.51222,184.43848,158.54869
2022-10-05,145.73213,247.33946,120.95,101.43,138.98,240.81,132.02202,108.728355,186.50558,161.68225
2022-10-04,145.4335,247.02185,121.09,101.64,140.28,249.44,131.60223,110.07538,184.49811,162.18167
2022-10-03,141.80014,238.94263,115.88,98.64,138.61,242.4,125.0556,105.15581,180.52293,159.8119
2022-09-30,137.56953,231.16116,113.0,95.65,135.68,265.25,121.32752,102.00299,176.54774,159.96858
2022-09-29,141.83002,235.7268,114.8,97.42,136.41,268.21,122.13711,103.62333,178.9428,161.11429
2022-09-28,149.15643,239.27016,118.01,100.05,141.61,287.81,127.29445,105.4096,178.06825,162.9063
2022-09-27,151.06767,234.64494,114.41,97.5,134.4,282.94,124.06611,103.32073,176.76639,161.51578
2022-09-26,150.0822,235.67719,115.15,98.17,136.37,276.01,122.217064,104.23827,179.46951,162.26001
2022-09-23,149.74374,236.14368,113.78,98.74,140.41,275.33,125.09558,106.53212,182.8186,163.25883
2022-09-22,152.04321,239.18083,117.31,100.14,142.82,288.59,125.54535,108.55266,184.63724,162.73004
2022-09-21,153.01874,237.16599,118.54,99.28,142.12,300.8,132.54175,109.80207,185.8596,159.89024
2022-09-20,156.18423,240.63986,122.19,101.14,146.09,308.73,131.69218,113.06226,190.87828,161.54517
2022-09-19,153.77527,242.6944,124.66,103.07,148.02,309.07,133.75113,115.336586,191.9317,162.82796
2022-09-16,150.01251,242.91275,123.53,102.8,146.29,303.35,131.91208,114.282394,192.10065,164.12056
2022-09-15,151.6749,243.54797,126.28,102.91,149.55,303.75,129.22345,115.05352,194.1578,161.65288
2022-09-14,154.60149,250.33691,128.55,105.0,151.47,302.61,131.21243,113.34534,198.17273,161.2416
2022-09-13,153.13818,250.10863,126.82,104.32,153.13,292.13,131.24242,113.60888,198.43112,157.98073
2022-09-12,162.68443,264.65918,136.45,110.86,168.96,304.42,144.97534,117.69876,205.34793,162.20125
2022-09-09,156.65208,262.48553,133.27,110.65,169.15,299.68,143.79596,116.32246,203.9268,162.26979
2022-09-08,153.75536,256.58987,129.82,108.38,162.06,289.26,139.828,115.766075,199.46468,161.95644
2022-09-07,155.24852,256.1631,129.48,109.45,160.39,283.7,137.06941,113.13059,199.17647,160.66385
2022-09-06,153.82504,251.35922,126.11,106.81,158.54,274.42,134.54146,111.0222,197.40752,159.79231
2022-09-02,155.0992,254.14824,127.51,107.85,160.32,270.21,136.35999,110.99292,196.53297,159.36145
2022-09-01,157.2394,258.45584,127.82,109.74,165.36,277.16,139.25764,111.7738,198.88828,161.90747
2022-08-31,156.50276,259.51785,126.77,108.22,162.93,275.61,150.81833,111.01244,197.47708,157.99052
2022-08-30,158.18506,261.00665,128.73,108.94,157.16,277.7,154.55531,111.67619,200.13051,159.05789
2022-08-29,160.64378,263.2498,129.79,109.42,159.17,284.82,157.88263,111.65667,201.07462,159.61606
2022-08-26,162.87357,266.08844,130.75,110.34,161.78,288.09,162.46892,111.92998,201.63115,160.8597
2022-08-25,169.25433,276.7681,137.28,116.65,168.78,296.07,178.9856,115.71727,208.51814,163.66031
2022-08-24,166.76573,273.73093,133.8,113.69,163.26,297.09668,172.08118,113.03298,205.3877,162.1425
2022-08-23,166.4671,274.3761,133.62,113.86,161.11,296.45334,171.6715,112.759674,205.51688,162.68108
2022-08-22,166.80556,275.6763,133.22,114.24,163.05,289.91333,170.20268,113.882195,207.31566,164.11076
2022-08-19,170.73753,284.01358,138.23,117.21,167.96,296.66666,178.34612,115.79536,211.49953,164.68465
2022-08-18,173.35553,288.00357,142.3,120.17,174.66,302.87,187.57867,118.73344,213.91446,162.21404
2022-08-17,173.75371,289.145,142.1,119.55,174.85,303.99667,183.2022,119.660736,213.18898,163.0019
2022-08-16,172.24065,289.90762,144.78,121.7,179.47,306.56332,188.63782,120.67588,215.79272,162.99219
2022-08-15,172.39992,290.66034,143.18,122.08,180.89,309.32,190.16658,119.533844,215.0772,161.55261
2022-08-12,171.31488,289.11526,143.55,121.68,180.5,300.03,186.93918,119.21172,210.01878,160.7842
2022-08-11,167.72136,284.2721,140.64,118.84,177.49,286.63,179.27536,117.26928,209.77032,162.57393
2022-08-10,168.46793,286.3916,142.69,119.7,178.34,294.35666,180.82411,115.56109,210.41019,166.00749
2022-08-09,164.16763,279.5973,137.83,116.63,168.53,283.33334,170.72226,112.62302,208.58485,165.53088
2022-08-08,164.11787,277.63623,139.41,117.3,170.25,290.42334,177.78656,111.61763,211.62047,165.55034
2022-08-05,164.59567,280.20145,140.8,117.47,167.11,288.17,189.73692,112.993935,214.15015,166.43547
2022-08-04,164.82431,280.93436,142.57,118.19,170.57,308.63333,191.9951,109.67518,211.76927,167.0969
2022-08-03,165.14241,279.76566,139.52,118.08,168.8,307.39667,188.7777,110.89531,206.81903,169.8204
2022-08-02,159.05879,272.1889,134.16,115.13,160.19,300.58667,185.11066,109.74351,204.61671,168.19603
